Fruits,Calories,Carbohydrates,Protiens,Fats,Fibre
Apples,49.05,11.83,0.35,0.1,1.97
Apricots,51.6,11.96,1.5,0.42,2.15
Avocado Pear,190,1.9,1.9,19.5,3.4
Banana,95,20.9,1.2,0.3,4.2
Blackberries,25.25,5.1,0.9,0.2,3.1
Blackcurrants,28,6.6,0.9,0,3.6
Blueberries,57,14.49,0.74,0.33,2.4
Cherries,39,9.5,0.7,0.1,0.7
Clementines,47,12.02,0.85,0.15,1.7
Cranberries,15,3.4,0.4,0.1,3
Damsons,30.6,7.7,0.5,0,1.4
Dates,107.4,27.1,1.3,0.1,1.5
Dried Dates,266.3,64.1,2.8,0.4,4.1
Figs,45,9.8,1.3,0.2,1.5
Goji Berries,287.2,65.1,6.6,0.7,6.8
Gooseberries,25,3,1.1,0.4,2.4
Grapefruit,30,6.8,0.8,0.1,1.3
Grapes,61.5,15.2,0.4,0.1,0.7
Guava,65.1,15.8,0.4,0.1,0.6
Kiwi Fruit,68,14,3,1,5
Lemon,49,10.6,1.1,0.5,1.9
Limes,18,2.9,0.9,0.3,2.1
Loganberries,25.2,8.9,0.6,0.2,2.4
Lychees,17,3.4,1.1,0,2.5
Mango,58,14.3,0.9,0.1,0.7
Melon,57,14.1,0.7,0.2,2.6
Nectarine,34,8.2,0.8,0.2,0.9
Olives,25,5.8,0.8,0.1,0.2
Olive,29.5,6.95,0.69,0.09,0.53
Oranges,35.9,8,1.2,0.1,1.1
Papaya,164.1,3.5,1,16.2,3.1
Passion Fruit,129.5,0.9,1.1,13.3,2.5
Peach,37.4,8.5,1.1,0.06,1.7
Pears,26.1,6.6,0.4,0.1,1.2
Physalis,36,5.8,2.6,0.4,3.3
Pineapple,31.4,7.2,1,0.1,1.3
Plums,37.5,9.13,0.28,0.1,1.38
Pomegranate,53,11.2,1.9,0.7,0.4
Pomelos,42.4,10,0.4,0.2,1
Prunes,34.5,8.1,0.5,0.1,1.8
Quince,68,17.2,1,0.3,0.6
Raisins,38,9.6,0.8,0,1
Raspberries,157.5,36.4,2.5,0.4,5.8
Redcurrants,57,15.2,0.4,0.1,1.9
Rhubarb,287.3,68.5,2.2,0.5,3.2
Satsuma,25,4.7,1.3,0.3,6.5
Sharon Fruit/Persimmon,20.4,4.3,1.1,0,3.3
Strawberries,7,0.8,0.9,0.1,1.4
Sultanas,36.83,8.65,0.89,0.08,1.27
Tangerines,70,18.6,0.6,0.2,3.6
Watermelon,28,5.99,0.8,0.1,1.36
