Vegetables,Calories,Carbohydrates,Protiens,Fats,Fibre
"Apples, Eating",49.05,11.83,0.35,0.1,1.97
"Apricots, Fresh",51.6,11.96,1.5,0.42,2.15
"Avocado Pear, Flesh Only",190,1.9,1.9,19.5,3.4
"Banana, Without Skin",95,20.9,1.2,0.3,4.2
Blackberries,25.25,5.1,0.9,0.2,3.1
Blackcurrants,28,6.6,0.9,0,3.6
Blueberries,57,14.49,0.74,0.33,2.4
"Cherries, Weighed With Stone",39,9.5,0.7,0.1,0.7
"Clementines, Without Peel",47,12.02,0.85,0.15,1.7
Cranberries,15,3.4,0.4,0.1,3
"Damsons, Weighed With Stone",30.6,7.7,0.5,0,1.4
"Dates, Yellow, Fresh",107.4,27.1,1.3,0.1,1.5
Dried Dates,266.3,64.1,2.8,0.4,4.1
"Figs, Fresh",45,9.8,1.3,0.2,1.5
"Goji Berries, Dried",287.2,65.1,6.6,0.7,6.8
"Gooseberries, Cooking",25,3,1.1,0.4,2.4
"Grapefruit, Flesh Only",30,6.8,0.8,0.1,1.3
"Grapes, Green",61.5,15.2,0.4,0.1,0.7
"Grapes, Red",65.1,15.8,0.4,0.1,0.6
"Guava, Flesh Only",68,14,3,1,5
"Kiwi Fruit, Flesh & Seeds",49,10.6,1.1,0.5,1.9
Lemon,18,2.9,0.9,0.3,2.1
"Limes, Flesh Only",25.2,8.9,0.6,0.2,2.4
Loganberries,17,3.4,1.1,0,2.5
"Lychees, Flesh Only",58,14.3,0.9,0.1,0.7
"Mango, Flesh Only",57,14.1,0.7,0.2,2.6
"Melon, Cantaloupe",34,8.2,0.8,0.2,0.9
"Melon, Galia",25,5.8,0.8,0.1,0.2
"Melon, Honeydew, Flesh Only",29.5,6.95,0.69,0.09,0.53
"Nectarine, Weighed With Stone",35.9,8,1.2,0.1,1.1
"Olives, Black, Pitted",164.1,3.5,1,16.2,3.1
"Olive, Green, Pitted",129.5,0.9,1.1,13.3,2.5
"Oranges, Without Peel",37.4,8.5,1.1,0.06,1.7
"Papaya, Flesh Only",26.1,6.6,0.4,0.1,1.2
Passion Fruit,36,5.8,2.6,0.4,3.3
"Peach, Weighed With Stone",31.4,7.2,1,0.1,1.3
"Pears, Weighed With Core",37.5,9.13,0.28,0.1,1.38
"Physalis, Without Husk",53,11.2,1.9,0.7,0.4
"Pineapple, Flesh Only",42.4,10,0.4,0.2,1
"Plums, Weighed With Stone",34.5,8.1,0.5,0.1,1.8
"Pomegranate, Flesh Only",68,17.2,1,0.3,0.6
"Pomelos, Flesh Only",38,9.6,0.8,0,1
"Prunes, Dried",157.5,36.4,2.5,0.4,5.8
"Quince, Edible Portion",57,15.2,0.4,0.1,1.9
"Raisins, Seedless",287.3,68.5,2.2,0.5,3.2
"Raspberries, Fresh",25,4.7,1.3,0.3,6.5
"Redcurrants, Fresh",20.4,4.3,1.1,0,3.3
"Rhubarb, Raw",7,0.8,0.9,0.1,1.4
"Satsuma, Flesh Only",36.83,8.65,0.89,0.08,1.27
Sharon Fruit/Persimmon,70,18.6,0.6,0.2,3.6
"Strawberries, Fresh",28,5.99,0.8,0.1,1.36
Sultanas,291.3,69.2,2.8,0.4,2
"Tangerines, Weighed With Peel",18.3,4.2,0.5,0.1,0.7
Watermelon,30,7,0.4,0.3,0.4
